那不勒斯 | Napoli-Napoli
毛里齐奥·萨里 | Maurizio Sarri
毛里齐奥 | Maurizio, Maurizio
巴塞罗那 | » Barcellona
意大利语 | Italiano | Italiano
感兴趣 | » Interessato
冠状病毒 | Il coronavirus
状病毒 | Virus della forma
事实上 | Di fatto
博洛尼亚 | Bologna-Bologna
准备好 | # Preparati #
阿根廷 | Argentina-Argentina
早上 | Al mattino
职业生涯 | Carriera professionale
八十年 | 80 anni
难以置信 | # Incredibile #
什么时候 | Quando mai
知道 | Sappi che
我知道我 | # So di essere #
安切洛蒂 | Ancelotti | Ancelotti
埃里克森 | Eriksson
一个挑战 | Una sfida
挑战 | La sfida
罗纳尔多 | Ronaldo »
安东尼奥 | » Antonio
利物浦 | Liverpool, Liverpool
克里斯蒂 | Christian Christian
总统 | Il Presidente
如果没有 | Se non ci sono
瓜迪奥拉 | » Guardiola
穆里尼奥 | Mourinho
佛罗伦萨 | Firenze, Firenze
最后 | E alla fine
我们必须 | Dobbiamo farlo.
意味 | Il significato di
目前为止 | Fino ad ora
我们可以 | Possiamo farlo.
穆罕默德 | Muhammad
克劳迪奥 | # Claudio #
巴勒莫 | Palermo-Palermo
竞争力 | La competitività
拉齐奥拉 | Lazio La
萨尔维尼 | SALVINI-SALVINI
布雷西亚 | Brescia-Brescia
贝克汉姆 | Beckham
巴斯克斯 | Vazquez
赛半决赛 | Semifinali del torneo
博洛尼亚 | Bologna-Bologna
皮亚特克 | Piattaforma | Piattaforma
博物馆 | Il Museo
阿布鲁佐 | Abruzzo-Abruzzo
罗马涅大 | Romagna Grande
中心 | Il centro
英格兰 | Inghilterra
墨索里尼 | Mussolini
卡利亚里 | Cagliari-Cagliari
索伦托 | Sorrento | Sorrento
葡萄牙人 | I portoghesi
非常非常 | Molto, molto, molto
塔尔迪尼 | Tardini
非常重要 | Molto importante.
尤文图 | La Juventus
马德里 | Madrid, Madrid
塞尔吉奥 | Sergio, Sergio
威尼斯 | » Venezia
马德里德 | Madrid de
紧急情况 | Situazione di emergenza
坎帕尼亚 | Campania-Campania
埃里克森 | Eriksson
必不可少 | Elementi essenziali
基耶利尼 | Chiellini | Chiellini
俄罗斯 | Russia-Russia
弗朗西斯 | » Francis
瓦伦蒂娜 | Valentina, Valentina
接种疫苗 | Vaccinazione e vaccinazione
疫苗接种 | Vaccinazione e vaccinazione
疫苗 | Il vaccino
切尔西 | Il Chelsea
尤文图斯 | La Juventus
卡利亚里 | Cagliari-Cagliari
解决方案 | La soluzione
非常有限 | Molto limitato
新闻报道 | Rapporti di notizie
罗纳尔多 | Ronaldo »
皮亚特克 | Piattaforma | Piattaforma
佩塔尼亚 | PETANIA-PETANIA
令人失望 | Una delusione.
多特蒙德 | Dortmund
马尔蒂尼 | Martigny-Martigny
委内瑞拉 | Venezuela-Venezuela
难以置信 | # Incredibile #
非常信任 | Molto fiducioso
星期天 | La domenica
毛罗 | Mauro, Mauro
萨尔茨堡 | Salisburgo
拉什福德 | Rushford.
塞维利亚 | Siviglia
扎尼奥洛 | Zagnolo-Zagnolo
马尔科姆 | # Malcolm #
拉比奥特 | Rabbiott-Rabbiott
梅西 | Messi, Messi
泰罗尼亚 | Terronia | Terronia
工会组织 | Le organizzazioni sindacali
克里斯蒂 | Christian Christian
取决于 | Dipende da:
格林伍德 | Greenwood
澳大利亚 | Australia, Australia
阿拉伯 | Arabia Saudita
安菲尔德 | Anfield, Anfield
高速公路 | Le autostrade
热那亚 | Genova-Genova
专业人士 | Il Professionista
阿贾克斯 | Ajax | Ajax
库利巴利 | Coulibali
印象深刻 | E' impressionante.
阿尔特塔 | La Torre di Alte
利古里亚 | Liguria | Liguria
半决赛，决赛 | Semifinali, finali
穆里尼奥 | Mourinho
劳塔罗 | Lautaro-Lautaro
拉布里亚 | Labria, Italia
经验丰富 | Con grande esperienza
克罗地亚 | Croazia | Croazia
拉比奥特 | Rabbiott-Rabbiott
桑切斯 | Sanchez
恐怖分子 | Il terrorista
埃里克 | # Eric #
托斯卡纳 | Toscana | Tuscany
阿布鲁佐 | Abruzzo-Abruzzo
伦巴第 | Lombardia
凯尔特 | Il Celtico
特雷维索 | Treviso | Treviso
自行车 | Biciclette in bicicletta
托特纳姆 | Tottenham
苏亚雷斯 | Suarez
伊卡尔迪 | Icardi, Icardi
徒步旅行 | Escursioni a piedi
不可或缺 | Indispensabile per
摩纳哥 | Monaco di Baviera
巴洛特利 | Balotelli, Balotelli
巴伦西亚 | Valencia | Valencia
格林伍德 | Greenwood
萨尔维尼 | SALVINI-SALVINI
视频，视频 | Video, Video
皮亚尼奇 | Pjanic
安德里亚 | # Andrea #
种族主义 | Il razzismo
亚伯拉罕 | # Abramo #
加布里埃 | Gabbrière-Gabbrière
纽卡斯尔 | Newcastle, Newcastle
服务，服务 | Servizi, servizi
欧洲人 | Gli europei
阿马尔菲 | Amalfi
半决赛 | Le semifinali
亚历山大 | Alessandria d'Egitto
庆祝活动 | Le celebrazioni
贝尼特斯 | Benitez
拉什福德 | Rushford.
梦寐以求 | # Sognando #
勒沃库森 | Leverkusen
特拉福德 | Trafford, Trafford
非常漂亮 | Molto bella.
皮埃蒙特 | Piemonte | Piemonte
一月份 | A gennaio
阿尔贝托 | Alberto, Alessandro
非常重要 | Molto importante.
继续下去 | # Continua cosi' #
不确定性 | # Incertezza #
强奸_意大利 | Stupro _ Italia
奥林匹克 | Le Olimpiadi
音乐会 | Il concerto
莱昂内尔 | Lionel, Lionel
地中海 | Il Mediterraneo
戈麦斯 | Gomez
心烦意乱 | # Sconvolto #
加勒比 | I Caraibi
弗兰克 | # Frank #
法兰克福 | Francoforte sul Meno
中场球员 | Il centrocampista
理事会 | IL CONSIGLIO DI CONSIGLIO
等级制度 | La gerarchia
保加利亚 | Bulgaria, Bulgaria
恶劣天气 | Il maltempo
加尔加诺 | Il Gargano
奥古斯托 | Augusto-Augusto
罗德里戈 | Rodrigo, Rodrigo
富有成效 | Produttivo e produttivo
是错过了 | È mancato
巴托梅乌 | Bartomeu
势不可挡 | # Inarrestabile #
什么时候 | Quando mai
埃里克森 | Eriksson
特里皮尔 | Tripil
克里斯蒂 | Christian Christian
乔瓦尼罗 | Giovanni Lo
佩斯卡拉 | Pescara, Pescara
意大利政府 | Governo italiano
伯恩茅斯 | Bournemouth
不满情绪 | Insoddisfazione
马拉多纳 | Maradona
尼日利亚 | Nigeria
格里兹曼 | Grizman
交通运输 | Trasporti e trasporti
安德里亚 | # Andrea #
勒沃库森 | Leverkusen
兰帕德 | # Lampard #
卡塔尼亚 | Catania
弗拉门戈 | Il flamenco
智能手机 | Smartphone | Smartphone
博努奇 | Bonucci, Bonucci
乌迪内斯 | Udinese | Udinese
斯蒂亚诺 | Stiano-Stiano
心烦意乱 | # Sconvolto #
通货膨胀 | Inflazione e inflazione
格里兹曼 | Grizman
坎帕尼亚 | Campania-Campania
未成年人 | I minori
澳大利亚 | Australia, Australia
玻利维亚 | Bolivia
体育运动 | Sport e sport
西班牙语 | Spagnolo | Spagnolo
意大利人 | Gli Italiani
亚历山德 | Alexandre
哥伦比亚 | Colombia:
波切蒂诺 | Pocettino-Pocettino
圣地亚哥 | San Diego
尼古拉斯 | Nicolas Nicholas
巴洛特利 | Balotelli, Balotelli
斯巴达 | Sparta | Sparta
贝尼特斯 | Benitez
忧心忡忡 | # Preoccupato e preoccupato #
塞尔多夫 | Cerdorf, il Cerdorf
合同，合同 | Contratto, contratto
是意大利 | E' Italia.
乌迪内斯 | Udinese | Udinese
打电话给我 | Mi chiami.
吵吵闹闹 | # Rumoroso e rumoroso #
非常宽敞 | Molto spazioso
莱昂内尔 | Lionel, Lionel
马尔蒂尼 | Martigny-Martigny
马丁内斯 | Martinez
合作伙伴 | Partner di Partner
我选择了 | # Ho scelto #
当之无愧 | # Meritato e meritato #
文艺复兴 | Il Rinascimento
非常非常 | Molto, molto, molto
卡利亚里 | Cagliari-Cagliari
一月份 | A gennaio
个领导者 | Un leader
性，意大利 | Sesso, Italia
十九世纪 | Il XIX secolo
巴洛特利 | Balotelli, Balotelli
弗兰克 | # Frank #
成千上万 | Migliaia e migliaia
尤文图斯 | La Juventus
比利时人 | I belgi
菲律宾人 | I filippini
意大利电影 | Il cinema italiano
莱昂纳多 | Leonardo »
埃利奥特 | Elliot.
德甲联赛 | La Bundesliga
