那不勒斯 | napoli-napoli
毛里齐奥·萨里 | mauriziosarri
毛里齐奥 | mauriziomaurizio
巴塞罗那 | barcellona
意大利语 | italiano
感兴趣 | interessato
冠状病毒 | ilcoronavirus
状病毒 | virusdellaforma
事实上 | difatto
博洛尼亚 | bologna-bologna
准备好 | preparati
阿根廷 | argentina-argentina
早上 | almattino
职业生涯 | carrieraprofessionale
八十年 | 80anni
难以置信 | incredibile
什么时候 | quandomai
知道 | sappiche
我知道我 | sodiessere
安切洛蒂 | ancelotti
埃里克森 | eriksson
一个挑战 | unasfida
挑战 | lasfida
罗纳尔多 | ronaldo
安东尼奥 | antonio
利物浦 | liverpoolliverpool
克里斯蒂 | christianchristian
总统 | ilpresidente
如果没有 | senoncisono
瓜迪奥拉 | guardiola
穆里尼奥 | mourinho
佛罗伦萨 | firenzefirenze
最后 | eallafine
我们必须 | dobbiamofarlo
意味 | ilsignificatodi
目前为止 | finoadora
我们可以 | possiamofarlo
穆罕默德 | muhammad
克劳迪奥 | claudio
巴勒莫 | palermo-palermo
竞争力 | lacompetitività
拉齐奥拉 | laziola
萨尔维尼 | salvini-salvini
布雷西亚 | brescia-brescia
贝克汉姆 | beckham
巴斯克斯 | vazquez
赛半决赛 | semifinalideltorneo
博洛尼亚 | bologna-bologna
皮亚特克 | piattaforma
博物馆 | ilmuseo
阿布鲁佐 | abruzzo-abruzzo
罗马涅大 | romagnagrande
中心 | ilcentro
英格兰 | inghilterra
墨索里尼 | mussolini
卡利亚里 | cagliari-cagliari
索伦托 | sorrento
葡萄牙人 | iportoghesi
非常非常 | moltomoltomolto
塔尔迪尼 | tardini
非常重要 | moltoimportante
尤文图 | lajuventus
马德里 | madridmadrid
塞尔吉奥 | sergiosergio
威尼斯 | venezia
马德里德 | madridde
紧急情况 | situazionediemergenza
坎帕尼亚 | campania-campania
埃里克森 | eriksson
必不可少 | elementiessenziali
基耶利尼 | chiellini
俄罗斯 | russia-russia
弗朗西斯 | francis
瓦伦蒂娜 | valentinavalentina
接种疫苗 | vaccinazioneevaccinazione
疫苗接种 | vaccinazioneevaccinazione
疫苗 | ilvaccino
切尔西 | ilchelsea
尤文图斯 | lajuventus
卡利亚里 | cagliari-cagliari
解决方案 | lasoluzione
非常有限 | moltolimitato
新闻报道 | rapportidinotizie
罗纳尔多 | ronaldo
皮亚特克 | piattaforma
佩塔尼亚 | petania-petania
令人失望 | unadelusione
多特蒙德 | dortmund
马尔蒂尼 | martigny-martigny
委内瑞拉 | venezuela-venezuela
难以置信 | incredibile
非常信任 | moltofiducioso
星期天 | ladomenica
毛罗 | mauromauro
萨尔茨堡 | salisburgo
拉什福德 | rushford
塞维利亚 | siviglia
扎尼奥洛 | zagnolo-zagnolo
马尔科姆 | malcolm
拉比奥特 | rabbiott-rabbiott
梅西 | messimessi
泰罗尼亚 | terronia
工会组织 | leorganizzazionisindacali
克里斯蒂 | christianchristian
取决于 | dipendeda:
格林伍德 | greenwood
澳大利亚 | australiaaustralia
阿拉伯 | arabiasaudita
安菲尔德 | anfieldanfield
高速公路 | leautostrade
热那亚 | genova-genova
专业人士 | ilprofessionista
阿贾克斯 | ajax
库利巴利 | coulibali
印象深刻 | e'impressionante
阿尔特塔 | latorredialte
利古里亚 | liguria
半决赛，决赛 | semifinalifinali
穆里尼奥 | mourinho
劳塔罗 | lautaro-lautaro
拉布里亚 | labriaitalia
经验丰富 | congrandeesperienza
克罗地亚 | croazia
拉比奥特 | rabbiott-rabbiott
桑切斯 | sanchez
恐怖分子 | ilterrorista
埃里克 | eric
托斯卡纳 | toscana
阿布鲁佐 | abruzzo-abruzzo
伦巴第 | lombardia
凯尔特 | ilceltico
特雷维索 | treviso
自行车 | bicicletteinbicicletta
托特纳姆 | tottenham
苏亚雷斯 | suarez
伊卡尔迪 | icardiicardi
徒步旅行 | escursioniapiedi
不可或缺 | indispensabileper
摩纳哥 | monacodibaviera
巴洛特利 | balotellibalotelli
巴伦西亚 | valencia
格林伍德 | greenwood
萨尔维尼 | salvini-salvini
视频，视频 | videovideo
皮亚尼奇 | pjanic
安德里亚 | andrea
种族主义 | ilrazzismo
亚伯拉罕 | abramo
加布里埃 | gabbrière-gabbrière
纽卡斯尔 | newcastlenewcastle
服务，服务 | serviziservizi
欧洲人 | glieuropei
阿马尔菲 | amalfi
半决赛 | lesemifinali
亚历山大 | alessandriad'egitto
庆祝活动 | lecelebrazioni
贝尼特斯 | benitez
拉什福德 | rushford
梦寐以求 | sognando
勒沃库森 | leverkusen
特拉福德 | traffordtrafford
非常漂亮 | moltobella
皮埃蒙特 | piemonte
一月份 | agennaio
阿尔贝托 | albertoalessandro
非常重要 | moltoimportante
继续下去 | continuacosi'
不确定性 | incertezza
强奸_意大利 | stupro_italia
奥林匹克 | leolimpiadi
音乐会 | ilconcerto
莱昂内尔 | lionellionel
地中海 | ilmediterraneo
戈麦斯 | gomez
心烦意乱 | sconvolto
加勒比 | icaraibi
弗兰克 | frank
法兰克福 | francofortesulmeno
中场球员 | ilcentrocampista
理事会 | ilconsigliodiconsiglio
等级制度 | lagerarchia
保加利亚 | bulgariabulgaria
恶劣天气 | ilmaltempo
加尔加诺 | ilgargano
奥古斯托 | augusto-augusto
罗德里戈 | rodrigorodrigo
富有成效 | produttivoeproduttivo
是错过了 | èmancato
巴托梅乌 | bartomeu
势不可挡 | inarrestabile
什么时候 | quandomai
埃里克森 | eriksson
特里皮尔 | tripil
克里斯蒂 | christianchristian
乔瓦尼罗 | giovannilo
佩斯卡拉 | pescarapescara
意大利政府 | governoitaliano
伯恩茅斯 | bournemouth
不满情绪 | insoddisfazione
马拉多纳 | maradona
尼日利亚 | nigeria
格里兹曼 | grizman
交通运输 | trasportietrasporti
安德里亚 | andrea
勒沃库森 | leverkusen
兰帕德 | lampard
卡塔尼亚 | catania
弗拉门戈 | ilflamenco
智能手机 | smartphone
博努奇 | bonuccibonucci
乌迪内斯 | udinese
斯蒂亚诺 | stiano-stiano
心烦意乱 | sconvolto
通货膨胀 | inflazioneeinflazione
格里兹曼 | grizman
坎帕尼亚 | campania-campania
未成年人 | iminori
澳大利亚 | australiaaustralia
玻利维亚 | bolivia
体育运动 | sportesport
西班牙语 | spagnolo
意大利人 | gliitaliani
亚历山德 | alexandre
哥伦比亚 | colombia:
波切蒂诺 | pocettino-pocettino
圣地亚哥 | sandiego
尼古拉斯 | nicolasnicholas
巴洛特利 | balotellibalotelli
斯巴达 | sparta
贝尼特斯 | benitez
忧心忡忡 | preoccupatoepreoccupato
塞尔多夫 | cerdorfilcerdorf
合同，合同 | contrattocontratto
是意大利 | e'italia
乌迪内斯 | udinese
打电话给我 | michiami
吵吵闹闹 | rumorosoerumoroso
非常宽敞 | moltospazioso
莱昂内尔 | lionellionel
马尔蒂尼 | martigny-martigny
马丁内斯 | martinez
合作伙伴 | partnerdipartner
我选择了 | hoscelto
当之无愧 | meritatoemeritato
文艺复兴 | ilrinascimento
非常非常 | moltomoltomolto
卡利亚里 | cagliari-cagliari
一月份 | agennaio
个领导者 | unleader
性，意大利 | sessoitalia
十九世纪 | ilxixsecolo
巴洛特利 | balotellibalotelli
弗兰克 | frank
成千上万 | migliaiaemigliaia
尤文图斯 | lajuventus
比利时人 | ibelgi
菲律宾人 | ifilippini
意大利电影 | ilcinemaitaliano
莱昂纳多 | leonardo
埃利奥特 | elliot
德甲联赛 | labundesliga
到达那里 | arrivarelì
本坦库尔 | bentankurbentankur
身份认同 | identitàeidentità
法比尼奥 | fabinhodifabinho
马图伊迪 | matuididimatuidi
非常简单 | moltosemplice
不可或缺 | indispensabileper
做好准备 | preparati
恢复过来 | riprenditi
非常干净 | moltopulito
每一个人 | ognipersona
哥本哈根 | copenaghen
梅拉尼娅 | melania
民族主义 | ilnazionalismo
纽卡斯尔 | newcastlenewcastle
庆祝活动 | lecelebrazioni
排除在外 | esclusida:
毕尔巴鄂 | bilbaobilbao
超级市场 | ilsupermercato
地中海 | ilmediterraneo
卡塞米罗 | casemiro
莫德里奇 | modrić
俄罗斯 | russia-russia
多才多艺 | versatileeversatile
看起来 | sembrapropriodisi'
德甲联赛 | labundesliga
视频，视频 | videovideo
重要，重要 | importanteimportante
专科医生 | ilmedicospecialista
尔巴尼亚 | erbania
费迪南德 | ferdinand
办公室、教室 | ufficioaula
拉什福德 | rushford
